doc_id,doc_date,doc_source,doc_title
48,2013-11-03,PowerLine,These Zins Are a Dusi
49,2013-11-03,PowerLine,NY Times Editorial Board Hacked by The Onion
50,2013-11-03,PowerLine,The line Obama crossed
51,2013-11-03,PowerLine,Sham/Wow
52,2013-11-03,PowerLine,A Quarterback Controversy With a Political Twist?
421,2013-11-03,PowerLine,Freedom vs. Statism: There’s Battle Lines Being Drawn
422,2013-11-03,PowerLine,"Mike Rogers and Dianne Feinstein:  Mr. Obama, take down this website"
423,2013-11-03,PowerLine,Lies of Obamacare: Capretta vs. Emanuel
430,2013-11-04,PowerLine,"From cradle to grave, and beyond"
431,2013-11-04,PowerLine,Memo to Boulder Area Readers: Jim Piereson on JFK This Wednesday
432,2013-11-04,PowerLine,Lies of Obamacare: Cancel this
433,2013-11-04,PowerLine,Lies of Obamacare: Fast talking edition
434,2013-11-04,PowerLine,Obamacare’s political backlash
1536,2013-11-19,PowerLine,"Healthcare.gov: Worse Than Ever, But Don’t Be Distracted"
1537,2013-11-19,PowerLine,"Gettysburg Yesterday, Today, and Tomorrow"
1538,2013-11-19,PowerLine,"If you like your Obamacare plan, you can’t get your Obamacare plan"
1539,2013-11-19,PowerLine,Gettysburg in the Power Point Age
1540,2013-11-19,PowerLine,The revival of compassionate conservatism
1542,2013-11-19,Politico Magazine,Sex in the Senate
1543,2013-11-19,Politico Magazine,Why Does Barack Keep Making Weird Jokes About Michelle?
1544,2013-11-19,Politico Magazine,Free Mary Cheney!
1545,2013-11-19,Politico Magazine,34 Years of Getting to No with Iran
1546,2013-11-19,Politico Magazine,The Tea Party's Attack on Women's Rights
1547,2013-11-19,Politico Magazine,10 People Obama Should Fire Over HealthCare.gov
1548,2013-11-19,Politico Magazine,Obama's Radioactive Agenda
1549,2013-11-19,Politico Magazine,John Kerry vs. the ?Babble?
1550,2013-11-19,Politico Magazine,'I Have No Illusions'
1551,2013-11-19,Politico Magazine,I Punk?d Scott Walker
1552,2013-11-19,Politico Magazine,How the GOP Can Win
1553,2013-11-19,Politico Magazine,Two Steps Obama Can Take to Defeat AIDS
1554,2013-11-19,Politico Magazine,Was the Gettysburg Address a Mistake?
1555,2013-11-19,Politico Magazine,Dukakis and the Tank
1556,2013-11-19,Politico Magazine,Obama?s Fight With Israel: This Time It's Serious
1557,2013-11-19,Politico Magazine,Close Encounters With Fox News
1558,2013-11-19,Politico Magazine,Pakistan's Man in Washington
1559,2013-11-19,Politico Magazine,The 3 Enduring Lessons of the Shutdown Fiasco
1560,2013-11-19,Politico Magazine,Who Needs HealthCare.gov?
1561,2013-11-19,Politico Magazine,MAD AS HELL
1562,2013-11-19,Politico Magazine,How to Stare Down Iran
1623,2014-01-20,PowerLine,"The Somali muddle, once more once"
1624,2014-01-20,PowerLine,The prophetic voice
1625,2014-01-20,PowerLine,"Syria, the New Afghanistan"
1626,2014-01-20,PowerLine,"The Democrats’ Parallel Universe, Abortion Edition"
1627,2014-01-20,PowerLine,Lies of Obamacare (full video added)
1928,2014-12-10,PowerLine,Feinstein’s war on the CIA — what purpose does it serve?
1930,2014-12-10,PowerLine,Who tortured what? Let’s go to the tape
1933,2014-12-10,PowerLine,Dr. Gruber regrets
1938,2014-12-10,PowerLine,Senate Intelligence Committee’s Report Confirms that CIA Did Not Torture Detainees
1962,2014-12-10,PowerLine,"Bill Buckley Was Right, Chapter 2,000"
2282,2016-05-26,PowerLine,Is There a Method to Trump’s Madness? [with comment by Paul]
2283,2016-05-26,PowerLine,"Move Over, Pajama Boy"
2284,2016-05-26,PowerLine,Where was Harold Koh?
2285,2016-05-26,PowerLine,“Minnesota men” go to trial (17)
2286,2016-05-26,PowerLine,Crime as an issue in 2016
2576,2016-05-26,Politico Magazine,Does the Libertarian Party Finally Have a Chance?
2577,2016-05-26,Politico Magazine,The Psychological Quirk That Explains Why You Love Donald Trump
2578,2016-05-26,Politico Magazine,Peter Thiel Does the Impossible!
2580,2016-05-26,Politico Magazine,Why Bernie’s Bros Might Go for Trump
2581,2016-05-26,Politico Magazine,Why I Caved on Guns When I Ran for Governor of Texas
2582,2016-05-26,Politico Magazine,Are You #NeverHillary or #NeverTrump?
2583,2016-05-26,Politico Magazine,This Is What the Future of American Politics Looks Like
2585,2016-05-26,Politico Magazine,How the Internet Is Threatening Our Freedom
2586,2016-05-26,Politico Magazine,Just What Were Donald Trump's Ties to the Mob?
2587,2016-05-26,Politico Magazine,The Train That Saved Denver
2588,2016-05-26,Politico Magazine,Make Yourself Great Again!
2589,2016-05-26,Politico Magazine,Is Rush Limbaugh in Trouble?
2590,2016-05-26,Politico Magazine,Rails and Rebirth
2923,2016-09-13,PowerLine,"Good grief, John Kerry — Part Two"
2924,2016-09-13,PowerLine,A Trump Rally: Reality vs. the Associated Press
2925,2016-09-13,PowerLine,Academic Absurdity of the Week: Crash at 4-Way Intersection Reported
2926,2016-09-13,PowerLine,Blue State Exodus
2927,2016-09-13,PowerLine,Hillary’s Weekend in Pictures: Deplorable Edition
3222,2016-09-16,PowerLine,Don’t Click on this
3223,2016-09-16,PowerLine,The wheedle and the damage done: Cheney edition
3224,2016-09-16,PowerLine,Thoughts from the ammo line
3225,2016-09-16,PowerLine,This day in baseball history — The Dodgers consolidate their lead
